Horodateur;Quel âge avez-vous ?;De quel sexe êtes-vous ?;Quelle est votre situation professionnelle ?;Quel type de profession exercez ou exerciez-vous ?;De quel diplôme disposez-vous ?;Avez-vous accès à du matériel numérique;Quel type de matériel utilisez-vous ?;A quelle fréquence utilisez-vous ce matériel ?;A quelle fréquence allez-vous sur internet ?;Avez-vous déjà réalisé des démarches administratives en ligne ?;Si oui, étiez-vous seul ou accompagné ?;Avez-vous déjà fait appel à une aide extérieure pour réaliser une démarche en ligne ?;Dans quel cadre avez-vous réalisé des démarches en ligne ?;Jugez-vous facile d'utilisation les services en ligne ?;Quels sont selon vous les freins à l'utilisation de services en ligne ?;Avez-vous déjà abandonné ou repoussé à un autre moment une démarche en ligne à cause de la difficulté ?;Seriez-vous intéressé par une aide pour les démarches en ligne ?;Vous êtes-vous déjà déplacé sur place alors qu'une démarche en ligne était possible ?;Savez-vous qu'il existe des formations à l'usage du numérique ?;Avez-vous déjà participé à une telle formation ?;Ce type de formation vous a-t-il aidé dans vos démarches administratives ?;Pourquoi n'avez-vous jamais réalisé de démarches en ligne ?
2025/10/25 11:05:51 AM UTC+1;plus que 80 ans;Femme;Retraité;Infirmière ;;Non;;;;Non;;;;;;;;;;;;"Pas d'accès à du matériel;Difficulté à utiliser le numérique"
2025/10/25 2:37:25 PM UTC+1;70-80 ans;Femme;Retraité;Employé;;Oui;"Téléphone;Ordinateur;Télévision";1 fois par jour;1 fois par mois;Non;;;;;;;;;;;;Difficulté à utiliser le numérique
2025/10/26 12:59:14 PM UTC+1;18-30 ans;Femme;En emploi;Etudiant;;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Achats (loisirs, travaux, courses...)";Oui;Sites complexes;Non;Non;Non;Oui;Non;;
2025/10/26 3:37:26 PM UTC+1;plus que 80 ans;Femme;Retraité;Employé;;Oui;"Téléphone;Tablette;Ordinateur;Télévision";1 fois par semaine;1 fois par semaine;Non;;;;;;;;;;;;Préférence pour les contacts humains en agence
2025/10/26 3:43:56 PM UTC+1;50-70 ans;Homme;En emploi;Cadre supérieur;;Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;"Manque de contact humain;Défaut de langue française";Non;Oui;Oui;Oui;Oui;Oui;
2025/10/29 1:27:09 PM UTC+1;70-80 ans;Homme;Retraité;Professeur;;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;1 fois par jour;Oui;Seul;Non;"Demande de documents administratifs (attestations, actes de naissance...);Déclaration d'impôts;Banque et Assurances";Non;"Sites complexes;Manque de contact humain";Oui;Oui;Oui;Non;;;
2025/11/02 9:06:10 AM UTC+1;50-70 ans;Femme;Retraité;Assistante maternelle ;;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Sites complexes;Non;Non;Non;Oui;Non;;
2025/11/02 9:07:40 AM UTC+1;50-70 ans;Homme;Retraité;Ouvrier;;Oui;"Téléphone;Télévision";plusieurs fois par jour;moins de 1 fois par mois;Non;;;;;;;;;;;;Son épouse le fait à sa place
2025/11/02 9:10:24 AM UTC+1;70-80 ans;Homme;Retraité;Aucune;;Oui;"Ordinateur;Télévision";plusieurs fois par jour;moins de 1 fois par mois;Non;;;;;;;;;;;;Difficulté à utiliser le numérique
2025/11/02 9:12:37 AM UTC+1;50-70 ans;Homme;Retraité;Employé;;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;1 fois par jour;Non;;;;;;;;;;;;Difficulté à utiliser le numérique
2025/11/02 9:14:49 AM UTC+1;70-80 ans;Homme;Retraité;Employé;;Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Non;;;;;;;;;;;;Sa femme le fait à sa place
2025/11/02 9:19:38 AM UTC+1;50-70 ans;Femme;En emploi;Cadre supérieur;;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Utilisation du numérique difficile;Non;Non;Non;Oui;Non;;
2025/11/11 11:37:04 AM UTC+1;30-50 ans;Femme;En emploi;Artisan, commerçant, indépendant;BAC +5 (Master);Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Banque et Assurances";Non;"Sites complexes;Manque de contact humain";Oui;Oui;Oui;Non;;;
2025/11/11 11:38:27 AM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain;Difficulté de lecture;Défaut de langue française";Oui;Oui;Oui;Non;;;
2025/11/11 11:39:35 AM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;Sites complexes;Oui;Non;Oui;Oui;Non;;
2025/11/11 11:41:40 AM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Ordinateur;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Accompagné;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;Sites complexes;Oui;Non;Non;Oui;Non;;
2025/11/11 11:44:11 AM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;BAC +1;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...)";Non;"Sites complexes;Utilisation du numérique difficile";Non;Non;Oui;Oui;Non;;
2025/11/11 11:48:13 AM UTC+1;50-70 ans;Femme;En emploi;Cadre supérieur;BAC +4;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Non;"Sites complexes;Manque de contact humain;Difficulté de lecture";Oui;Non;Non;Oui;Oui;Oui;
2025/11/11 12:08:27 PM UTC+1;70-80 ans;Homme;Retraité;Employé;CAP;Oui;"Téléphone;Ordinateur";1 fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Manque de contact humain;Non;Non;Non;Non;;;
2025/11/11 12:20:54 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...)";Non;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain";Oui;Oui;Oui;Oui;Non;;
2025/11/11 12:37:13 PM UTC+1;50-70 ans;Femme;En emploi;Employé;CAP;Oui;"Téléphone;Tablette";plusieurs fois par jour;1 fois par jour;Oui;Seul;Non;"Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Banque et Assurances";Oui;Sites complexes;Oui;Non;Oui;Oui;Non;;
2025/11/11 12:41:20 PM UTC+1;50-70 ans;Femme;Sans emploi;Auxiliaire de vie social;Diplôme d’Etat ;Oui;"Téléphone;Ordinateur;Télévision";plusieurs fois par jour;1 fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Banque et Assurances";Oui;Manque de contact humain;Non;Non;Oui;Oui;Oui;Oui;
2025/11/11 12:49:01 PM UTC+1;50-70 ans;Femme;En emploi;Employé;BAC +1;Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;Manque de contact humain;Oui;Oui;Oui;Oui;Non;;
2025/11/11 1:10:22 PM UTC+1;30-50 ans;Femme;En emploi;Employé;BAC +2;Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Sites complexes;Oui;Oui;Oui;Oui;Non;;
2025/11/11 1:10:52 PM UTC+1;30-50 ans;Homme;En emploi;Employé;Niveau BAC;Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Sites complexes;Non;Non;Oui;Non;;;
2025/11/11 2:28:44 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;BAC +4;Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain;Difficulté de lecture;Défaut de langue française";Oui;Oui;Oui;Non;;;
2025/11/11 4:13:35 PM UTC+1;30-50 ans;Homme;En emploi;Ouvrier;Niveau BAC;Oui;"Téléphone;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;Sites complexes;Non;Non;Non;Oui;Non;;
2025/11/11 5:20:49 PM UTC+1;70-80 ans;Femme;Retraité;Employé;Niveau Brevet;Oui;"Téléphone;Tablette;Ordinateur;Télévision;Liseuse";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;Manque de contact humain;Non;Non;Non;Oui;Non;;
2025/11/11 6:07:17 PM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Accompagné;Oui;"Demande de documents administratifs (attestations, actes de naissance...);Prise de rendez-vous;Achats (loisirs, travaux, courses...)";Oui;Manque de contact humain;Non;Non;Oui;Oui;Non;;
2025/11/11 7:23:16 PM UTC+1;30-50 ans;Femme;En emploi;Cadre supérieur;BAC +5 (Master);Oui;"Téléphone;Tablette;Ordinateur;Télévision";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Manque de contact humain;Non;Non;Oui;Oui;Non;;
2025/11/12 7:25:07 PM UTC+1;30-50 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;Déclaration d'impôts;Oui;"Utilisation du numérique difficile;Défaut de langue française";Oui;Oui;Oui;Oui;Non;;
2025/11/14 10:06:03 AM UTC+1;18-30 ans;Femme;Etudiant;Etudiant;Niveau BAC;Oui;"Téléphone;Ordinateur";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances";Oui;"Sites complexes;Utilisation du numérique difficile;Manque de contact humain;Difficulté de lecture;Défaut de langue française";Oui;Non;Non;Non;;;
2025/11/16 6:56:02 AM UTC+1;50-70 ans;Femme;En emploi;Cadre supérieur;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Seul;Oui;"Modification d'informations personnelles;Prise de rendez-vous;Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Oui;Sites complexes;Non;Non;Oui;Oui;Oui;Oui;
2025/11/16 6:58:05 AM UTC+1;18-30 ans;Homme;En emploi;Technicien;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Tablette;Ordinateur;Télévision;Console de jeu";plusieurs fois par jour;plusieurs fois par jour;Oui;Accompagné;Oui;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Achats (loisirs, travaux, courses...);Banque et Assurances;Demande de devis";Non;Sites complexes;Oui;Oui;Oui;Non;;;
2025/11/16 6:58:49 AM UTC+1;plus que 80 ans;Homme;Retraité;Ouvrier;Niveau Brevet;Non;;;;Non;;;;;;;;;;;;"Pas d'accès à du matériel;Difficulté à utiliser le numérique"
2025/11/16 6:59:44 AM UTC+1;plus que 80 ans;Femme;Retraité;Femme au foyer;Aucun;Non;;;;Non;;;;;;;;;;;;"Pas d'accès à du matériel;Difficulté à utiliser le numérique"
2025/11/16 7:01:38 AM UTC+1;50-70 ans;Femme;En emploi;Employé;BAC +3 (Bachelor ou Licence);Oui;"Téléphone;Ordinateur;Télévision";1 fois par jour;1 fois par jour;Oui;Seul;Non;"Modification d'informations personnelles;Demande de documents administratifs (attestations, actes de naissance...);Etat civil;Demande de droits (CAF, MDPH, retraite, Pôle Emploi...);Prise de rendez-vous;Déclaration d'impôts;Demande de remboursement (mutuelle, CPAM...);Banque et Assurances";Non;"Sites complexes;Manque de contact humain";Non;Non;Oui;Non;;;
